asset_id,submitter_id,nacc_id,count,unit,latest_submitted_date
2637,40,62,1,,2022-12-13
2638,40,62,1,,2022-12-13
2639,40,62,1,,2022-12-13
2640,40,62,1,,2022-12-13
2641,40,62,1,,2022-12-13
2642,40,62,1,,2022-12-13
2643,40,62,1,,2022-12-13
2644,40,62,1,,2022-12-13
2645,40,62,1,,2022-12-13
2646,40,62,1,,2022-12-13
2647,40,62,1,,2022-12-13
2648,40,62,1,,2022-12-13
2649,40,62,1,,2022-12-13
2650,40,62,1,,2022-12-13
2651,40,62,1,,2022-12-13
2652,40,62,1,,2022-12-13
2653,40,62,1,,2022-12-13
2654,40,62,1,,2022-12-13
2655,40,62,1,,2022-12-13
2656,40,62,1,,2022-12-13
2657,40,62,1,,2022-12-13
2658,40,62,1,,2022-12-13
2659,40,62,1,,2022-12-13
2660,40,62,1,,2022-12-13
2661,40,62,1,,2022-12-13
2662,40,62,1,,2022-12-13
2663,40,62,1,,2022-12-13
2664,40,62,1,,2022-12-13
2665,40,62,1,,2022-12-13
2666,40,62,1,,2022-12-13
2667,40,62,1,,2022-12-13
2668,40,62,1,,2022-12-13
2669,40,62,1,,2022-12-13
2670,40,62,1,,2022-12-13
2671,40,62,1,,2022-12-13
2672,40,62,1,,2022-12-13
2673,40,62,1,,2022-12-13
2674,40,62,1,,2022-12-13
2675,40,62,1,,2022-12-13
2676,40,62,1,,2022-12-13
2677,40,62,1,,2022-12-13
2678,40,62,1,,2022-12-13
2679,40,62,1,,2022-12-13
2680,40,62,1,,2022-12-13
2681,40,62,1,,2022-12-13
2682,40,62,1,,2022-12-13
2683,40,62,1,,2022-12-13
2684,40,62,1,,2022-12-13
2685,40,62,1,,2022-12-13
2686,40,62,1,,2022-12-13
2687,40,62,1,,2022-12-13
2688,40,62,1,,2022-12-13
2689,40,62,1,,2022-12-13
2690,40,62,1,,2022-12-13
2691,40,62,1,,2022-12-13
2692,40,62,1,,2022-12-13
2693,40,62,1,,2022-12-13
2694,40,62,1,,2022-12-13
2695,40,62,1,,2022-12-13
2696,40,62,1,,2022-12-13
2697,40,62,1,,2022-12-13
2698,40,62,1,,2022-12-13
2699,40,62,1,,2022-12-13
2700,40,62,1,,2022-12-13
2701,40,62,1,,2022-12-13
2702,40,62,1,,2022-12-13
2703,40,62,1,,2022-12-13
2704,40,62,1,,2022-12-13
2705,40,62,1,,2022-12-13
2706,40,62,1,,2022-12-13
2707,40,62,1,,2022-12-13
2708,40,62,1,,2022-12-13
2709,40,62,1,,2022-12-13
2710,40,62,1,,2022-12-13
2711,40,62,1,,2022-12-13
2712,40,62,1,,2022-12-13
2713,40,62,1,,2022-12-13
2714,40,62,69,,2022-12-13
2715,40,62,3,,2022-12-13
2716,40,62,9,,2022-12-13
2717,40,62,1,,2022-12-13
2718,40,62,1,,2022-12-13
2719,40,62,1,,2022-12-13
2720,40,62,1,,2022-12-13
2721,40,62,1,,2022-12-13
2722,40,62,1,,2022-12-13
2723,40,62,1,,2022-12-13
2724,40,62,1,,2022-12-13
2725,40,62,1,,2022-12-13
2726,40,62,1,,2022-12-13
2727,40,62,1,,2022-12-13
2728,40,62,1,,2022-12-13
2729,40,62,1,,2022-12-13
2730,40,62,1,,2022-12-13
2731,40,62,1,,2022-12-13
2732,40,62,1,,2022-12-13
2733,80,63,9,องค์,2022-12-13
2734,80,63,9,องค์,2022-12-13
2735,80,63,3,วง,2022-12-13
2736,80,63,1,เรือน,2022-12-13
